case_id,customer_id,region,industry,invoice_amount_usd,num_open_invoices,overdue_days_at_allocation,previous_default_count,previous_recovery_rate,payment_history_score,credit_score_band,contact_attempts_last_30d,last_contact_channel,dispute_flag,promised_to_pay_flag,assigned_dca_id,assigned_date,sla_days,sla_due_date,current_stage_snapshot,recovered_flag,recovered_amount_usd,recovery_days_from_allocation,recovery_date,recovered_within_30d,recovered_within_60d,escalation_flag,model_collectability_bucket_hint
C001085,12004,MEA,Manufacturing,21002.92,1,88,2,0.797,602.4,Fair,4,Portal,0,0,DCA-09,2025-10-25,25,2025-11-19,In Progress,0,0.0,,,0,0,0,Low
C001086,18390,IND,Energy,22291.96,1,214,0,0.62,667.3,Fair,3,Portal,0,1,DCA-05,2025-10-31,26,2025-11-26,Closed,1,19887.0,41.0,2025-12-11,0,1,0,Medium
C001087,18016,IND,Technology,16360.76,4,6,3,0.7,644.4,Fair,5,Phone,1,0,DCA-05,2025-07-23,23,2025-08-15,Dispute,0,0.0,,,0,0,0,Low
C001088,19903,NA,Energy,15301.23,7,181,1,0.722,635.7,Fair,4,Phone,0,0,DCA-06,2025-06-16,9,2025-06-25,Escalated,0,0.0,,,0,0,1,Low
C001089,16509,EU,Energy,14331.77,3,220,0,0.798,622.7,Fair,4,Phone,0,0,DCA-05,2025-02-20,13,2025-03-05,Escalated,0,0.0,,,0,0,1,Low
C001090,11415,IND,Energy,8926.72,2,79,0,1.0,706.0,Good,3,Phone,0,0,DCA-03,2025-09-19,11,2025-09-30,Closed,1,6735.58,37.0,2025-10-26,0,1,0,Medium
C001091,15029,MEA,Technology,16778.66,2,60,0,0.782,679.3,Good,2,Email,0,0,DCA-09,2025-06-30,30,2025-07-30,In Progress,0,0.0,,,0,0,0,Medium
C001092,14482,IND,Finance,55273.68,7,179,0,0.892,659.7,Fair,2,In-person,0,1,DCA-10,2025-03-09,13,2025-03-22,PTP,0,0.0,,,0,0,0,Low
C001093,18429,IND,Finance,31178.29,5,262,0,0.748,539.4,Poor,4,Phone,0,1,DCA-06,2025-07-15,13,2025-07-28,PTP,0,0.0,,,0,0,1,Low
C001094,13925,NA,Aviation,16526.87,5,5,1,0.761,729.9,Good,0,Phone,0,1,DCA-08,2025-04-27,23,2025-05-20,PTP,0,0.0,,,0,0,0,Medium
C001095,13285,LATAM,Finance,24320.65,2,123,1,0.72,642.4,Fair,3,Email,0,0,DCA-03,2025-02-03,9,2025-02-12,In Progress,0,0.0,,,0,0,0,Low
C001096,10800,IND,Automotive,7270.47,7,364,1,0.942,559.8,Poor,1,Phone,0,1,DCA-07,2026-01-10,17,2026-01-27,PTP,0,0.0,,,0,0,1,Low
C001097,18354,LATAM,Finance,11132.69,2,123,0,0.808,705.7,Good,3,Email,0,0,DCA-04,2025-12-03,21,2025-12-24,In Progress,0,0.0,,,0,0,0,Low
C001098,17553,NA,Energy,25938.79,7,121,0,0.938,679.6,Good,6,SMS,0,0,DCA-02,2025-06-15,19,2025-07-04,In Progress,0,0.0,,,0,0,0,Low
C001099,10412,MEA,Logistics,37836.03,7,269,0,0.981,580.2,Fair,2,SMS,1,0,DCA-05,2025-12-25,7,2026-01-01,Closed,1,28923.67,63.0,2026-02-26,0,0,1,Low
C001100,14337,APAC,FMCG,7788.42,4,175,0,1.0,677.2,Good,11,SMS,0,0,DCA-01,2025-10-14,26,2025-11-09,In Progress,0,0.0,,,0,0,0,Low
C001101,14797,LATAM,Finance,9523.22,7,143,2,0.697,552.4,Poor,4,Phone,1,0,DCA-03,2025-06-11,18,2025-06-29,Escalated,0,0.0,,,0,0,1,Low
C001102,14693,IND,Aviation,61510.49,7,286,2,0.672,559.5,Poor,5,Portal,0,0,DCA-03,2025-02-01,7,2025-02-08,Escalated,0,0.0,,,0,0,1,Low
C001103,19189,NA,Healthcare,14290.97,5,12,0,0.923,802.4,Excellent,1,Email,0,0,DCA-05,2026-01-25,8,2026-02-02,In Progress,0,0.0,,,0,0,0,High
C001104,11506,EU,Retail,47875.22,6,260,3,0.859,572.4,Poor,4,Phone,0,1,DCA-05,2025-01-12,27,2025-02-08,PTP,0,0.0,,,0,0,1,Low
C001105,13063,NA,Manufacturing,15441.29,5,139,1,0.684,764.5,Very Good,4,Phone,0,0,DCA-07,2026-01-01,30,2026-01-31,In Progress,0,0.0,,,0,0,0,Low
C001106,11809,LATAM,Retail,15872.23,4,324,0,1.0,685.0,Good,5,In-person,0,0,DCA-02,2025-01-21,20,2025-02-10,Escalated,0,0.0,,,0,0,1,Low
C001107,12440,NA,FMCG,10787.64,3,264,2,0.666,627.0,Fair,5,Phone,0,0,DCA-05,2025-11-21,23,2025-12-14,Escalated,0,0.0,,,0,0,1,Low
C001108,19071,EU,FMCG,25842.83,5,343,0,1.0,705.6,Good,5,Email,0,0,DCA-01,2025-10-05,21,2025-10-26,Escalated,0,0.0,,,0,0,1,Low
C001109,19407,IND,Automotive,34559.73,2,47,0,0.729,617.7,Fair,3,Email,0,0,DCA-09,2025-11-01,20,2025-11-21,In Progress,0,0.0,,,0,0,0,Medium
C001110,10446,NA,Automotive,6473.67,2,69,1,0.876,697.1,Good,3,In-person,0,0,DCA-09,2025-01-23,13,2025-02-05,In Progress,0,0.0,,,0,0,0,Low
C001111,16320,EU,Energy,10438.8,2,329,0,0.718,675.7,Good,6,Email,0,0,DCA-10,2025-12-26,12,2026-01-07,Escalated,0,0.0,,,0,0,1,Low
C001112,12328,IND,Finance,25350.53,1,143,0,0.819,645.2,Fair,1,Email,0,1,DCA-06,2025-08-26,10,2025-09-05,PTP,0,0.0,,,0,0,0,Medium
C001113,11925,IND,Automotive,12201.52,7,297,1,0.852,598.2,Fair,2,Portal,0,0,DCA-09,2025-12-06,8,2025-12-14,Escalated,0,0.0,,,0,0,1,Low
C001114,12920,IND,Healthcare,9458.13,2,251,0,0.704,709.1,Good,2,Portal,0,0,DCA-05,2025-04-10,20,2025-04-30,Escalated,0,0.0,,,0,0,1,Low
C001115,11943,LATAM,Automotive,27083.49,6,182,0,0.608,580.6,Fair,6,Phone,0,0,DCA-02,2025-07-13,22,2025-08-04,Escalated,0,0.0,,,0,0,1,Low
C001116,14901,MEA,Energy,28923.72,4,17,1,0.944,700.7,Good,3,Email,0,0,DCA-09,2025-02-25,27,2025-03-24,In Progress,0,0.0,,,0,0,0,Medium
C001117,19956,MEA,Energy,9752.22,3,27,0,1.0,746.6,Very Good,3,Phone,0,0,DCA-01,2025-09-28,29,2025-10-27,In Progress,0,0.0,,,0,0,0,Medium
C001118,15864,APAC,Logistics,15500.95,2,261,0,0.906,696.4,Good,1,Email,0,1,DCA-06,2025-10-01,25,2025-10-26,PTP,0,0.0,,,0,0,1,Low
C001119,17232,APAC,Manufacturing,5733.42,6,36,1,0.602,622.8,Fair,2,Email,1,0,DCA-10,2025-02-17,24,2025-03-13,Dispute,0,0.0,,,0,0,0,Low
C001120,14932,NA,Retail,7137.82,4,2,3,0.735,623.1,Fair,3,Phone,0,0,DCA-03,2025-08-03,26,2025-08-29,In Progress,0,0.0,,,0,0,0,Low
C001121,10139,IND,Aviation,14572.85,4,80,3,0.62,565.6,Poor,6,Portal,0,1,DCA-03,2025-08-28,19,2025-09-16,PTP,0,0.0,,,0,0,0,Medium
C001122,10841,APAC,Technology,13656.69,5,333,0,0.976,712.9,Good,2,Email,0,0,DCA-02,2025-12-19,15,2026-01-03,Escalated,0,0.0,,,0,0,1,Low
C001123,12688,IND,Finance,6789.87,6,229,1,0.634,607.1,Fair,1,Phone,1,0,DCA-06,2025-02-11,17,2025-02-28,Escalated,0,0.0,,,0,0,1,Low
C001124,12436,APAC,Manufacturing,8093.51,5,262,0,0.728,533.1,Poor,4,Email,0,1,DCA-07,2025-10-15,22,2025-11-06,Closed,1,7302.11,41.0,2025-11-25,0,1,0,Medium
C001125,18405,LATAM,Logistics,6338.95,4,238,0,0.639,600.3,Fair,5,Email,0,1,DCA-06,2025-09-01,21,2025-09-22,PTP,0,0.0,,,0,0,1,Medium
C001126,18435,IND,Automotive,18371.24,7,206,2,0.847,548.3,Poor,0,Email,1,0,DCA-04,2025-05-08,20,2025-05-28,Escalated,0,0.0,,,0,0,1,Low
C001127,18541,NA,Retail,3369.95,7,94,0,0.858,676.1,Good,2,Email,0,0,DCA-05,2025-03-18,27,2025-04-14,Closed,1,2588.58,49.0,2025-05-06,0,1,0,Medium
C001128,16375,EU,FMCG,6580.7,7,157,0,0.79,715.3,Good,4,Email,0,0,DCA-09,2025-02-19,9,2025-02-28,In Progress,0,0.0,,,0,0,0,Low
C001129,15561,EU,Technology,3626.2,1,199,0,1.0,624.1,Fair,4,Email,0,1,DCA-10,2025-02-09,22,2025-03-03,PTP,0,0.0,,,0,0,1,Medium
C001130,16491,IND,Finance,17913.58,7,360,0,0.963,722.8,Good,4,Email,0,0,DCA-04,2025-09-09,19,2025-09-28,Escalated,0,0.0,,,0,0,1,Low
C001131,14068,NA,Healthcare,3782.3,2,328,0,0.805,591.9,Fair,6,Phone,0,0,DCA-07,2025-10-10,8,2025-10-18,Escalated,0,0.0,,,0,0,1,Low
C001132,16702,IND,Automotive,13659.77,5,269,2,0.754,552.0,Poor,4,Email,0,0,DCA-09,2025-05-18,7,2025-05-25,Closed,1,9828.72,71.0,2025-07-28,0,0,0,Low
C001133,17944,NA,FMCG,42094.27,5,297,0,0.872,624.4,Fair,4,Email,0,0,DCA-07,2026-01-02,7,2026-01-09,Escalated,0,0.0,,,0,0,1,Low
C001134,17629,IND,Finance,43105.41,2,294,0,1.0,728.7,Good,5,SMS,0,1,DCA-09,2025-03-07,24,2025-03-31,Closed,1,38092.34,45.0,2025-04-21,0,1,0,Low
C001135,16138,NA,Manufacturing,3773.9,1,244,1,0.929,671.2,Good,3,SMS,0,0,DCA-07,2025-02-26,30,2025-03-28,Escalated,0,0.0,,,0,0,1,Medium
C001136,10581,NA,FMCG,16463.26,7,301,3,0.613,518.8,Poor,9,Phone,0,1,DCA-03,2025-08-15,28,2025-09-12,PTP,0,0.0,,,0,0,1,Low
C001137,17249,IND,Aviation,6685.66,7,27,2,0.485,657.8,Fair,1,In-person,0,0,DCA-07,2025-10-17,7,2025-10-24,In Progress,0,0.0,,,0,0,0,Medium
C001138,13666,IND,Manufacturing,5795.31,2,8,1,0.806,719.7,Good,4,Email,0,0,DCA-06,2025-09-19,28,2025-10-17,In Progress,0,0.0,,,0,0,0,Low
C001139,17436,APAC,Logistics,12339.63,5,162,1,1.0,685.9,Good,2,SMS,0,0,DCA-04,2026-01-23,21,2026-02-13,In Progress,0,0.0,,,0,0,0,Low
C001140,15395,LATAM,Retail,31564.99,2,20,1,0.567,556.8,Poor,2,Phone,0,0,DCA-01,2025-04-23,14,2025-05-07,In Progress,0,0.0,,,0,0,0,Low
C001141,18811,NA,Finance,20328.14,4,124,0,0.743,760.3,Very Good,3,Email,0,0,DCA-09,2025-05-28,11,2025-06-08,Closed,1,15805.05,66.0,2025-08-02,0,0,0,Medium
C001142,13384,IND,FMCG,8098.23,3,73,1,0.88,587.1,Fair,3,Email,0,0,DCA-08,2025-10-13,21,2025-11-03,Closed,1,7970.64,53.0,2025-12-05,0,1,0,Low
C001143,19313,IND,Healthcare,21884.28,6,349,0,1.0,712.4,Good,3,Email,0,0,DCA-01,2025-04-10,11,2025-04-21,Escalated,0,0.0,,,0,0,1,Low
C001144,18444,IND,Automotive,2777.77,5,239,0,0.828,701.1,Good,3,Phone,0,0,DCA-08,2025-01-27,24,2025-02-20,Escalated,0,0.0,,,0,0,1,Medium
C001145,13311,IND,Aviation,7886.74,4,16,1,0.826,609.9,Fair,2,Email,1,1,DCA-07,2025-10-15,11,2025-10-26,Closed,1,6696.21,45.0,2025-11-29,0,1,0,Low
C001146,14825,APAC,Energy,7504.63,5,228,1,0.587,575.6,Poor,5,Portal,0,0,DCA-04,2025-10-16,22,2025-11-07,Escalated,0,0.0,,,0,0,1,Low
C001147,15313,EU,Logistics,14112.62,4,267,3,0.697,455.7,Poor,9,Email,0,0,DCA-08,2025-03-22,29,2025-04-20,Escalated,0,0.0,,,0,0,1,Low
C001148,17686,IND,Aviation,11591.42,1,119,0,0.803,622.0,Fair,5,Phone,0,1,DCA-09,2025-02-11,7,2025-02-18,Closed,1,9737.15,28.0,2025-03-11,1,1,0,Medium
C001149,16891,APAC,Automotive,12100.11,5,322,1,0.755,665.9,Fair,4,Phone,0,0,DCA-09,2025-02-04,10,2025-02-14,Escalated,0,0.0,,,0,0,1,Low
C001150,18520,IND,Healthcare,11821.75,6,355,1,0.55,456.9,Poor,5,Portal,1,0,DCA-01,2025-09-30,19,2025-10-19,Escalated,0,0.0,,,0,0,1,Low
C001151,13698,EU,Energy,13570.93,4,357,3,0.813,680.4,Good,3,Email,0,0,DCA-04,2025-01-25,20,2025-02-14,Escalated,0,0.0,,,0,0,1,Low
C001152,15047,LATAM,Logistics,19498.48,2,34,0,1.0,728.0,Good,1,Phone,0,1,DCA-01,2025-06-21,19,2025-07-10,Closed,1,19498.48,16.0,2025-07-07,1,1,0,Medium
C001153,14308,APAC,Healthcare,14831.84,1,164,1,1.0,764.2,Very Good,3,Phone,0,0,DCA-08,2025-01-08,11,2025-01-19,In Progress,0,0.0,,,0,0,0,Low
C001154,19095,EU,Technology,10948.46,3,283,2,0.668,583.9,Fair,5,Email,0,0,DCA-05,2025-03-01,26,2025-03-27,Escalated,0,0.0,,,0,0,1,Low
C001155,13049,EU,Energy,17698.3,6,162,2,0.744,589.6,Fair,4,Phone,0,1,DCA-08,2025-12-14,14,2025-12-28,PTP,0,0.0,,,0,0,0,Medium
C001156,15871,IND,Aviation,23820.13,3,176,4,0.682,510.1,Poor,0,Email,1,0,DCA-08,2025-01-09,26,2025-02-04,Escalated,0,0.0,,,0,0,1,Low
C001157,11201,EU,Finance,9052.37,7,120,1,0.996,757.1,Very Good,4,Portal,0,0,DCA-01,2025-12-23,28,2026-01-20,In Progress,0,0.0,,,0,0,0,Low
C001158,18502,MEA,Retail,12815.6,3,153,1,0.766,571.9,Poor,2,Portal,1,0,DCA-10,2025-11-30,22,2025-12-22,Escalated,0,0.0,,,0,0,1,Low
C001159,13842,APAC,Logistics,30131.75,3,253,0,1.0,673.1,Good,2,Email,0,0,DCA-05,2025-09-18,26,2025-10-14,Escalated,0,0.0,,,0,0,1,Low
C001160,13405,NA,Logistics,6173.79,6,10,4,0.694,625.8,Fair,1,SMS,0,0,DCA-10,2025-12-14,10,2025-12-24,In Progress,0,0.0,,,0,0,0,Low
C001161,15829,EU,Automotive,47253.95,5,291,1,1.0,697.1,Good,5,Email,0,0,DCA-02,2025-11-10,13,2025-11-23,Escalated,0,0.0,,,0,0,1,Low
C001162,14988,EU,Healthcare,5232.22,1,265,4,0.836,508.5,Poor,10,Portal,0,0,DCA-04,2025-05-27,20,2025-06-16,Escalated,0,0.0,,,0,0,1,Low
C001163,18479,EU,Aviation,10490.7,1,51,1,0.785,565.1,Poor,2,Email,1,0,DCA-05,2025-06-30,17,2025-07-17,Closed,1,7303.2,61.0,2025-08-30,0,0,0,Low
C001164,15314,NA,Energy,6869.64,2,281,0,0.801,684.0,Good,2,Phone,0,1,DCA-10,2025-09-18,28,2025-10-16,PTP,0,0.0,,,0,0,1,Low
C001165,15169,NA,Retail,61793.22,7,190,3,0.801,582.3,Fair,5,Portal,0,1,DCA-02,2025-11-19,29,2025-12-18,PTP,0,0.0,,,0,0,1,Low
C001166,11049,IND,Logistics,9392.39,1,117,0,0.913,708.3,Good,3,Email,0,0,DCA-06,2025-12-10,10,2025-12-20,In Progress,0,0.0,,,0,0,0,Medium
C001167,10219,EU,FMCG,9408.9,1,166,0,0.824,747.8,Very Good,5,Portal,0,0,DCA-02,2025-04-24,29,2025-05-23,Closed,1,8643.67,53.0,2025-06-16,0,1,0,Medium
C001168,13985,IND,Energy,10305.94,6,189,3,0.969,675.6,Good,4,Phone,0,0,DCA-03,2025-02-05,27,2025-03-04,Escalated,0,0.0,,,0,0,1,Low
C001169,19982,NA,Logistics,14284.38,5,77,1,0.95,809.9,Excellent,4,Phone,1,0,DCA-07,2025-07-20,13,2025-08-02,Closed,1,11194.2,72.0,2025-09-30,0,0,0,Low
C001170,19173,IND,Energy,10615.72,7,221,2,0.706,543.3,Poor,5,Email,0,1,DCA-03,2025-07-19,8,2025-07-27,PTP,0,0.0,,,0,0,1,Low
C001171,16289,EU,FMCG,12173.04,2,230,2,0.668,619.9,Fair,7,Phone,0,1,DCA-03,2025-12-14,16,2025-12-30,PTP,0,0.0,,,0,0,1,Low
C001172,16308,MEA,Energy,1129.53,5,134,0,0.77,704.3,Good,4,Phone,0,0,DCA-07,2025-06-17,30,2025-07-17,In Progress,0,0.0,,,0,0,0,Medium
C001173,13915,MEA,Finance,13905.11,1,168,3,0.887,601.5,Fair,5,Phone,0,1,DCA-09,2025-05-06,7,2025-05-13,PTP,0,0.0,,,0,0,0,Low
C001174,11775,NA,Finance,13527.29,5,225,1,0.854,624.0,Fair,4,Phone,0,0,DCA-01,2025-03-27,30,2025-04-26,Closed,1,10487.22,51.0,2025-05-17,0,1,0,Low
C001175,10085,NA,Manufacturing,27639.42,1,184,0,0.966,693.5,Good,4,Phone,0,1,DCA-03,2025-01-30,12,2025-02-11,Closed,1,27445.48,51.0,2025-03-22,0,1,0,Medium
C001176,13388,IND,Retail,33401.05,7,159,0,0.896,677.4,Good,4,Phone,0,1,DCA-06,2025-04-10,30,2025-05-10,Closed,1,33401.05,36.0,2025-05-16,0,1,0,High
C001177,13164,EU,Healthcare,11714.75,3,349,0,0.907,630.9,Fair,7,Phone,0,0,DCA-10,2025-05-27,20,2025-06-16,Escalated,0,0.0,,,0,0,1,Low
C001178,11916,NA,Retail,23655.72,2,320,1,0.615,541.7,Poor,5,Phone,0,0,DCA-04,2025-12-29,15,2026-01-13,Escalated,0,0.0,,,0,0,1,Low
C001179,12591,MEA,Aviation,6178.94,7,139,0,0.862,670.7,Good,4,In-person,0,0,DCA-03,2025-10-28,22,2025-11-19,In Progress,0,0.0,,,0,0,0,Medium
C001180,10248,NA,Healthcare,22859.9,1,262,2,0.613,518.5,Poor,5,Phone,1,0,DCA-01,2025-10-02,27,2025-10-29,Escalated,0,0.0,,,0,0,1,Low
C001181,16079,MEA,Automotive,8948.73,6,295,1,0.933,639.0,Fair,4,Email,0,0,DCA-02,2025-01-09,14,2025-01-23,Escalated,0,0.0,,,0,0,1,Low
C001182,19274,APAC,Logistics,5829.65,4,41,1,0.969,753.5,Very Good,3,In-person,0,0,DCA-05,2025-09-04,15,2025-09-19,In Progress,0,0.0,,,0,0,0,Medium
C001183,16907,EU,Healthcare,11732.15,5,216,3,0.954,595.0,Fair,1,In-person,0,1,DCA-03,2025-01-31,23,2025-02-23,PTP,0,0.0,,,0,0,1,Low
C001184,14482,NA,Logistics,35608.18,2,292,0,0.829,579.6,Poor,3,In-person,0,0,DCA-06,2025-09-13,9,2025-09-22,Closed,1,27745.34,83.0,2025-12-05,0,0,0,Low
C001185,14202,EU,Energy,15164.37,7,21,0,0.644,723.7,Good,5,Email,0,1,DCA-04,2025-06-10,23,2025-07-03,Closed,1,15164.37,30.0,2025-07-10,1,1,0,Medium
C001186,13075,EU,FMCG,38083.7,4,123,1,0.579,580.7,Fair,1,Email,0,0,DCA-03,2025-06-13,17,2025-06-30,Closed,1,24918.13,72.0,2025-08-24,0,0,0,Low
C001187,11424,IND,Energy,7910.03,3,291,1,0.993,713.8,Good,4,Email,0,1,DCA-07,2025-05-27,13,2025-06-09,Closed,1,7612.67,28.0,2025-06-24,1,1,0,Medium
C001188,15984,APAC,Finance,27819.59,4,341,2,0.743,601.4,Fair,4,Portal,0,1,DCA-08,2025-11-08,26,2025-12-04,PTP,0,0.0,,,0,0,1,Low
C001189,15665,IND,Logistics,8463.25,3,362,0,0.942,569.8,Poor,5,SMS,0,1,DCA-10,2025-01-13,21,2025-02-03,PTP,0,0.0,,,0,0,1,Low
C001190,10073,NA,Technology,15642.24,3,220,1,1.0,664.1,Fair,6,Email,0,1,DCA-06,2025-10-22,7,2025-10-29,PTP,0,0.0,,,0,0,1,Low
C001191,14155,APAC,Energy,15547.86,1,16,0,0.992,722.5,Good,4,Email,0,0,DCA-10,2025-04-25,29,2025-05-24,In Progress,0,0.0,,,0,0,0,Medium
C001192,12780,EU,Finance,21227.32,4,11,1,0.585,657.7,Fair,2,Portal,0,0,DCA-02,2025-06-22,17,2025-07-09,In Progress,0,0.0,,,0,0,0,Low
C001193,11702,APAC,Manufacturing,15922.98,4,296,1,0.932,571.5,Poor,3,Phone,0,0,DCA-06,2025-09-23,7,2025-09-30,Escalated,0,0.0,,,0,0,1,Low
C001194,17030,NA,Healthcare,7963.08,3,268,1,1.0,683.1,Good,4,Phone,0,0,DCA-05,2025-02-27,21,2025-03-20,Escalated,0,0.0,,,0,0,1,Low
C001195,15258,EU,Retail,24740.95,7,71,1,0.964,789.1,Very Good,4,Email,0,0,DCA-07,2025-03-04,15,2025-03-19,Closed,1,21708.24,56.0,2025-04-29,0,1,0,Medium
C001196,16337,MEA,Manufacturing,44898.5,1,48,1,0.631,588.0,Fair,3,Email,1,0,DCA-03,2025-02-08,26,2025-03-06,Dispute,0,0.0,,,0,0,0,Low
C001197,17134,IND,Technology,8878.05,7,54,2,0.917,671.4,Good,3,Phone,0,1,DCA-02,2025-03-30,23,2025-04-22,PTP,0,0.0,,,0,0,0,Medium
C001198,19818,APAC,Aviation,3697.22,7,320,0,0.847,614.1,Fair,3,Email,0,0,DCA-05,2025-11-10,12,2025-11-22,Closed,1,3490.43,78.0,2026-01-27,0,0,0,Low
C001199,18027,EU,Aviation,18949.33,1,279,1,0.919,657.5,Fair,4,Email,0,0,DCA-07,2025-02-20,28,2025-03-20,Escalated,0,0.0,,,0,0,1,Low
C001200,16203,EU,Technology,10595.38,5,346,0,1.0,725.0,Good,1,Phone,0,0,DCA-08,2025-10-05,9,2025-10-14,Escalated,0,0.0,,,0,0,1,Low
C001201,18790,APAC,Technology,12188.25,2,42,4,0.795,621.3,Fair,1,Email,0,0,DCA-07,2025-07-23,15,2025-08-07,In Progress,0,0.0,,,0,0,0,Low
C001202,14775,APAC,Energy,19718.73,1,254,0,0.907,661.0,Fair,4,Portal,0,1,DCA-07,2025-06-27,11,2025-07-08,PTP,0,0.0,,,0,0,1,High
C001203,19847,IND,FMCG,9706.25,7,337,3,0.714,496.8,Poor,7,Phone,1,0,DCA-02,2025-11-18,12,2025-11-30,Closed,1,7245.41,83.0,2026-02-09,0,0,1,Low
C001204,17614,IND,Finance,11067.89,1,194,0,0.779,659.4,Fair,1,Email,0,0,DCA-08,2025-02-23,21,2025-03-16,Escalated,0,0.0,,,0,0,1,Low
C001205,16508,NA,Automotive,12455.48,3,282,3,0.617,552.1,Poor,1,Email,0,1,DCA-06,2025-01-18,26,2025-02-13,PTP,0,0.0,,,0,0,1,Low
C001206,19033,IND,Automotive,37377.63,1,220,0,0.635,583.6,Fair,3,Phone,0,0,DCA-01,2025-11-02,21,2025-11-23,Escalated,0,0.0,,,0,0,1,Low
C001207,15150,LATAM,Healthcare,13643.91,1,3,0,0.778,637.5,Fair,0,Phone,0,1,DCA-03,2025-02-21,7,2025-02-28,Closed,1,11405.58,19.0,2025-03-12,1,1,0,High
C001208,17206,EU,FMCG,5625.29,1,157,2,0.846,630.4,Fair,5,Phone,0,0,DCA-03,2025-05-22,15,2025-06-06,In Progress,0,0.0,,,0,0,0,Low
C001209,12847,NA,Finance,5784.2,6,96,0,0.767,635.9,Fair,4,SMS,1,0,DCA-02,2025-10-05,20,2025-10-25,Escalated,0,0.0,,,0,0,1,Low
C001210,19632,LATAM,Technology,14727.34,1,31,3,0.703,602.8,Fair,2,Phone,0,0,DCA-02,2025-11-03,19,2025-11-22,In Progress,0,0.0,,,0,0,0,Low
C001211,16233,MEA,Healthcare,6059.61,6,217,3,0.886,637.3,Fair,1,Phone,0,0,DCA-09,2025-10-01,18,2025-10-19,Closed,1,5267.65,64.0,2025-12-04,0,0,0,Low
C001212,17820,IND,Retail,4475.56,2,339,1,0.781,475.6,Poor,4,Email,0,0,DCA-05,2025-10-04,15,2025-10-19,Escalated,0,0.0,,,0,0,1,Low
C001213,14607,EU,Energy,20845.12,7,20,1,1.0,769.0,Very Good,1,Email,0,0,DCA-05,2025-05-30,10,2025-06-09,Closed,1,16500.31,50.0,2025-07-19,0,1,0,Medium
C001214,18668,APAC,Automotive,21571.94,6,120,0,0.846,760.7,Very Good,1,Email,1,0,DCA-09,2026-01-03,9,2026-01-12,Escalated,0,0.0,,,0,0,1,Low
C001215,10741,LATAM,Technology,10324.8,5,244,2,1.0,642.8,Fair,6,Phone,0,0,DCA-04,2025-04-01,7,2025-04-08,Escalated,0,0.0,,,0,0,1,Low
C001216,11141,IND,Finance,16408.61,6,114,2,1.0,605.4,Fair,2,Email,0,1,DCA-04,2025-01-27,9,2025-02-05,PTP,0,0.0,,,0,0,0,Medium
C001217,15071,IND,Healthcare,15240.1,3,43,1,0.844,709.4,Good,0,Email,0,0,DCA-02,2025-12-01,25,2025-12-26,In Progress,0,0.0,,,0,0,0,Medium
C001218,17324,MEA,Aviation,20367.46,6,70,4,0.783,664.0,Fair,3,Email,0,1,DCA-01,2025-09-12,19,2025-10-01,PTP,0,0.0,,,0,0,0,Low
C001219,18092,EU,Manufacturing,20400.71,2,9,0,0.953,734.4,Good,2,Portal,0,0,DCA-02,2025-07-27,26,2025-08-22,In Progress,0,0.0,,,0,0,0,Medium
C001220,14400,APAC,Energy,2155.87,5,362,0,0.93,747.9,Very Good,4,Email,0,0,DCA-09,2025-11-10,29,2025-12-09,Escalated,0,0.0,,,0,0,1,Low
C001221,16496,APAC,Retail,11289.75,7,179,0,0.951,703.4,Good,3,Phone,0,0,DCA-06,2025-10-16,7,2025-10-23,In Progress,0,0.0,,,0,0,0,Low
C001222,15531,IND,Finance,19197.45,6,344,0,0.994,698.8,Good,6,Portal,0,0,DCA-06,2025-04-26,17,2025-05-13,Escalated,0,0.0,,,0,0,1,Low
C001223,19615,APAC,Logistics,10023.43,2,250,0,1.0,741.5,Very Good,7,Portal,0,1,DCA-04,2025-01-13,14,2025-01-27,Closed,1,8701.19,38.0,2025-02-20,0,1,0,Low
C001224,16541,NA,Energy,13702.61,6,128,0,0.765,711.7,Good,2,Portal,0,0,DCA-05,2025-10-19,19,2025-11-07,Closed,1,11837.23,52.0,2025-12-10,0,1,0,Medium
C001225,14168,IND,Manufacturing,22595.14,7,344,1,0.697,572.6,Poor,7,Phone,0,1,DCA-07,2025-10-10,23,2025-11-02,PTP,0,0.0,,,0,0,1,Low
C001226,19698,APAC,Aviation,14138.37,7,95,1,0.549,646.6,Fair,3,Email,1,0,DCA-05,2025-04-28,26,2025-05-24,Escalated,0,0.0,,,0,0,1,Low
C001227,11072,APAC,Manufacturing,38389.67,6,66,1,0.96,640.9,Fair,1,Phone,0,1,DCA-04,2025-05-12,18,2025-05-30,Closed,1,36114.52,37.0,2025-06-18,0,1,0,Medium
C001228,19845,IND,FMCG,29404.13,6,294,0,1.0,667.9,Fair,2,Phone,0,0,DCA-03,2025-09-08,20,2025-09-28,Closed,1,21649.18,69.0,2025-11-16,0,0,0,Low
C001229,11540,IND,Retail,12295.7,6,202,0,1.0,775.7,Very Good,4,Phone,0,1,DCA-02,2025-01-25,7,2025-02-01,PTP,0,0.0,,,0,0,1,Medium
C001230,12882,IND,Technology,11630.28,6,154,2,0.655,566.7,Poor,1,Phone,0,0,DCA-06,2025-09-26,8,2025-10-04,In Progress,0,0.0,,,0,0,0,Low
C001231,18214,EU,Finance,1816.69,1,215,0,0.699,626.1,Fair,3,Email,0,0,DCA-01,2025-03-08,15,2025-03-23,Escalated,0,0.0,,,0,0,1,Low
