interaction_id,case_id,timestamp,actor,event_type,channel,notes
I0018650,C004034,2025-07-20 09:52:00,FedEx,Call Connected,In-person,Payment received partial
I0003839,C004277,2025-07-20 09:57:00,DCA,Case Closed,In-person,Left voicemail
I0016720,C002863,2025-07-20 10:05:00,FedEx,Escalation,Email,Payment received partial
I0020605,C003956,2025-07-20 10:26:00,DCA,Escalation,SMS,Dispute regarding service charges
I0010643,C004013,2025-07-20 10:27:00,DCA,Email Sent,Portal,Payment received partial
I0021178,C003268,2025-07-20 10:47:00,DCA,Payment Received,In-person,Dispute regarding service charges
I0000560,C000095,2025-07-20 11:16:00,DCA,Portal Message,Portal,Payment received partial
I0019270,C003924,2025-07-20 11:18:00,FedEx,Email Sent,In-person,No response after multiple attempts
I0019479,C003408,2025-07-20 11:35:00,DCA,Call Connected,SMS,Left voicemail
I0021322,C001008,2025-07-20 11:44:00,DCA,Call Connected,Phone,No response after multiple attempts
I0003725,C002711,2025-07-20 11:50:00,FedEx,SMS Sent,Portal,Left voicemail
I0004159,C000609,2025-07-20 11:51:00,FedEx,Call Connected,In-person,Customer requested invoice copy
I0022127,C000505,2025-07-20 12:11:00,DCA,Escalation,SMS,Left voicemail
I0014139,C000970,2025-07-20 12:12:00,DCA,PTP Recorded,Portal,Customer asked for payment plan
I0012607,C004212,2025-07-20 12:22:00,DCA,Payment Received,Phone,Customer requested invoice copy
I0018994,C000026,2025-07-20 12:22:00,DCA,SMS Sent,Email,Updated contact details
I0013645,C001067,2025-07-20 12:34:00,DCA,Note Added,SMS,Customer requested invoice copy
I0013336,C001119,2025-07-20 12:51:00,DCA,Escalation,In-person,Dispute regarding service charges
I0002890,C004748,2025-07-20 13:01:00,FedEx,Allocated,Portal,Customer requested invoice copy
I0005687,C002209,2025-07-20 13:21:00,DCA,Email Sent,Phone,Payment received partial
I0012459,C002370,2025-07-20 13:49:00,DCA,Note Added,SMS,No response after multiple attempts
I0007393,C001481,2025-07-20 13:51:00,DCA,Escalation,Email,Escalated due to SLA breach
I0023498,C003138,2025-07-20 14:00:00,FedEx,Call Connected,Email,Customer requested invoice copy
I0007623,C003199,2025-07-20 14:04:00,DCA,Call Attempt,Phone,No response after multiple attempts
I0001677,C000001,2025-07-20 14:10:00,FedEx,Call Attempt,Portal,Email bounced
I0012747,C000191,2025-07-20 14:12:00,DCA,Payment Received,SMS,No response after multiple attempts
I0002984,C001708,2025-07-20 14:14:00,DCA,Allocated,Email,Customer asked for payment plan
I0005034,C000556,2025-07-20 14:32:00,DCA,Note Added,SMS,Payment received partial
I0001792,C003485,2025-07-20 14:34:00,DCA,Payment Received,Phone,Customer promised to pay next week
I0009435,C000169,2025-07-20 14:35:00,DCA,Call Attempt,Email,No response after multiple attempts
I0006446,C004200,2025-07-20 15:07:00,FedEx,Call Attempt,Email,Customer promised to pay next week
I0017433,C002504,2025-07-20 15:09:00,FedEx,Email Sent,Phone,Escalated due to SLA breach
I0003245,C002968,2025-07-20 15:22:00,DCA,Note Added,SMS,Customer promised to pay next week
I0000779,C002240,2025-07-20 15:24:00,DCA,Portal Message,Phone,Customer promised to pay next week
I0016073,C002174,2025-07-20 15:35:00,DCA,Call Attempt,Email,Customer requested invoice copy
I0000176,C004721,2025-07-20 15:42:00,DCA,PTP Recorded,SMS,Email bounced
I0012186,C004705,2025-07-20 15:42:00,DCA,Escalation,Email,Customer requested invoice copy
I0022072,C002389,2025-07-20 15:43:00,DCA,Email Sent,SMS,Payment received partial
I0005115,C001706,2025-07-20 15:50:00,FedEx,Case Closed,SMS,Customer promised to pay next week
I0004477,C004947,2025-07-20 15:51:00,FedEx,Call Connected,SMS,Escalated due to SLA breach
I0018056,C003085,2025-07-20 16:46:00,FedEx,Allocated,Email,Payment received partial
I0003171,C004774,2025-07-20 16:46:00,FedEx,Call Attempt,SMS,Customer asked for payment plan
I0017742,C004748,2025-07-20 16:46:00,DCA,Allocated,SMS,Payment received partial
I0004038,C004917,2025-07-20 16:51:00,FedEx,Payment Received,In-person,Customer promised to pay next week
I0000039,C002675,2025-07-20 16:57:00,DCA,PTP Recorded,In-person,Customer promised to pay next week
I0017226,C001181,2025-07-20 17:00:00,FedEx,SMS Sent,SMS,Updated contact details
I0010923,C001588,2025-07-20 17:06:00,DCA,Escalation,Portal,No response after multiple attempts
I0022614,C003782,2025-07-20 17:09:00,FedEx,Allocated,Portal,Email bounced
I0019371,C002729,2025-07-20 17:11:00,FedEx,Allocated,Email,Dispute regarding service charges
I0005513,C001495,2025-07-20 17:20:00,DCA,Allocated,In-person,Escalated due to SLA breach
I0015305,C000014,2025-07-20 17:22:00,FedEx,SMS Sent,Portal,Payment received partial
I0003873,C002389,2025-07-20 17:34:00,FedEx,Call Connected,Portal,Email bounced
I0024348,C002088,2025-07-20 17:45:00,FedEx,PTP Recorded,SMS,Left voicemail
I0020362,C002911,2025-07-20 17:45:00,DCA,Email Sent,SMS,Escalated due to SLA breach
I0003363,C000395,2025-07-20 17:55:00,DCA,Escalation,Phone,Escalated due to SLA breach
I0011739,C004411,2025-07-20 18:01:00,FedEx,Note Added,SMS,Customer asked for payment plan
I0000615,C003904,2025-07-20 18:20:00,DCA,Portal Message,In-person,Customer promised to pay next week
I0009157,C000050,2025-07-20 18:26:00,DCA,Call Connected,In-person,Dispute regarding service charges
I0006862,C004856,2025-07-21 08:10:00,FedEx,Allocated,Phone,Email bounced
I0011785,C003876,2025-07-21 08:22:00,DCA,Call Connected,SMS,Email bounced
I0019763,C003731,2025-07-21 08:30:00,DCA,Email Sent,SMS,Payment received partial
I0000330,C002586,2025-07-21 08:31:00,DCA,Note Added,Portal,Dispute regarding service charges
I0006878,C000769,2025-07-21 08:34:00,DCA,SMS Sent,Portal,Payment received partial
I0008592,C001959,2025-07-21 08:50:00,DCA,SMS Sent,In-person,Payment received partial
I0021872,C003837,2025-07-21 08:53:00,DCA,Call Connected,Portal,Customer requested invoice copy
I0003403,C003347,2025-07-21 08:53:00,FedEx,Case Closed,Portal,Left voicemail
I0005885,C002499,2025-07-21 09:27:00,DCA,Case Closed,Phone,Escalated due to SLA breach
I0006861,C000823,2025-07-21 09:47:00,DCA,Note Added,Portal,Left voicemail
I0020986,C000385,2025-07-21 09:54:00,DCA,Call Attempt,Portal,Email bounced
I0009596,C003837,2025-07-21 09:57:00,FedEx,Call Connected,Portal,Left voicemail
I0012486,C002931,2025-07-21 09:58:00,FedEx,Payment Received,Email,Dispute regarding service charges
I0008897,C001316,2025-07-21 09:59:00,DCA,Call Attempt,SMS,Escalated due to SLA breach
I0015522,C002951,2025-07-21 10:09:00,DCA,Call Attempt,SMS,Email bounced
I0006809,C004574,2025-07-21 10:26:00,DCA,Call Connected,Phone,Customer asked for payment plan
I0010062,C004536,2025-07-21 10:28:00,DCA,Payment Received,SMS,No response after multiple attempts
I0014787,C002844,2025-07-21 10:33:00,DCA,Email Sent,Phone,No response after multiple attempts
I0005044,C002979,2025-07-21 10:42:00,FedEx,Call Attempt,Email,Customer promised to pay next week
I0003513,C000632,2025-07-21 11:10:00,DCA,Allocated,Phone,Updated contact details
I0012370,C003528,2025-07-21 11:24:00,FedEx,Payment Received,SMS,Customer asked for payment plan
I0009510,C004521,2025-07-21 11:37:00,DCA,Escalation,In-person,Dispute regarding service charges
I0000362,C002346,2025-07-21 11:41:00,DCA,Call Attempt,Portal,Customer requested invoice copy
I0020145,C002463,2025-07-21 11:44:00,DCA,Call Attempt,Email,Escalated due to SLA breach
I0000981,C001135,2025-07-21 11:46:00,FedEx,PTP Recorded,Portal,Escalated due to SLA breach
I0001704,C004574,2025-07-21 11:57:00,DCA,Payment Received,Email,Updated contact details
I0010304,C000652,2025-07-21 12:12:00,FedEx,Call Connected,In-person,Left voicemail
I0021018,C000132,2025-07-21 12:19:00,DCA,PTP Recorded,SMS,No response after multiple attempts
I0020964,C003506,2025-07-21 12:20:00,FedEx,Email Sent,Phone,Dispute regarding service charges
I0023215,C000953,2025-07-21 12:36:00,FedEx,PTP Recorded,Email,Email bounced
I0006640,C003485,2025-07-21 12:39:00,DCA,Portal Message,In-person,Dispute regarding service charges
I0002852,C004933,2025-07-21 12:41:00,DCA,SMS Sent,Phone,Left voicemail
I0007328,C001951,2025-07-21 12:51:00,DCA,Call Attempt,Email,Email bounced
I0019343,C003929,2025-07-21 12:54:00,FedEx,Call Connected,Email,Customer promised to pay next week
I0023737,C000307,2025-07-21 12:55:00,FedEx,Email Sent,SMS,No response after multiple attempts
I0015105,C002671,2025-07-21 13:17:00,FedEx,Portal Message,In-person,Escalated due to SLA breach
I0007224,C000419,2025-07-21 13:24:00,FedEx,Email Sent,Phone,Dispute regarding service charges
I0007027,C003982,2025-07-21 13:25:00,DCA,Allocated,SMS,Customer requested invoice copy
I0002306,C002185,2025-07-21 13:31:00,DCA,Call Attempt,SMS,Customer requested invoice copy
I0008954,C002534,2025-07-21 13:36:00,DCA,Call Attempt,Email,Left voicemail
I0022153,C001673,2025-07-21 13:52:00,DCA,Note Added,Portal,Payment received partial
I0021856,C004383,2025-07-21 13:52:00,DCA,Escalation,SMS,Payment received partial
I0019078,C000154,2025-07-21 14:03:00,FedEx,Email Sent,In-person,Updated contact details
I0004223,C002685,2025-07-21 14:12:00,DCA,Portal Message,Phone,Customer promised to pay next week
I0005630,C000010,2025-07-21 14:39:00,FedEx,Dispute Raised,Portal,Payment received partial
I0005649,C004638,2025-07-21 14:52:00,DCA,Note Added,Portal,Customer promised to pay next week
I0018765,C000567,2025-07-21 14:56:00,DCA,Call Attempt,Email,Left voicemail
I0013087,C002490,2025-07-21 14:57:00,DCA,Note Added,Email,Customer promised to pay next week
I0022612,C004536,2025-07-21 15:05:00,FedEx,Email Sent,Email,Left voicemail
I0022162,C002689,2025-07-21 15:07:00,DCA,Email Sent,Portal,Left voicemail
I0021344,C002309,2025-07-21 15:11:00,DCA,Escalation,Phone,Dispute regarding service charges
I0017337,C003877,2025-07-21 15:13:00,DCA,Payment Received,Portal,Updated contact details
I0014696,C004353,2025-07-21 15:17:00,DCA,Note Added,Portal,No response after multiple attempts
I0017895,C000327,2025-07-21 15:23:00,DCA,Portal Message,Portal,Customer requested invoice copy
I0024391,C003728,2025-07-21 15:24:00,DCA,Call Connected,Email,Payment received partial
I0010235,C000820,2025-07-21 15:43:00,FedEx,Call Attempt,Phone,Dispute regarding service charges
I0001200,C004144,2025-07-21 15:44:00,DCA,SMS Sent,Email,Customer promised to pay next week
I0006898,C004287,2025-07-21 16:40:00,DCA,Email Sent,SMS,Updated contact details
I0001722,C004778,2025-07-21 16:42:00,DCA,Note Added,SMS,No response after multiple attempts
I0000544,C002056,2025-07-21 16:42:00,DCA,PTP Recorded,Phone,Email bounced
I0002296,C001760,2025-07-21 16:56:00,FedEx,Note Added,In-person,Updated contact details
I0002277,C000769,2025-07-21 17:13:00,DCA,Allocated,SMS,Dispute regarding service charges
I0000474,C003949,2025-07-21 17:44:00,DCA,Note Added,Email,Customer requested invoice copy
I0023013,C004469,2025-07-21 17:46:00,DCA,Dispute Raised,In-person,Left voicemail
I0024674,C004090,2025-07-21 17:48:00,FedEx,Escalation,Email,Customer promised to pay next week
I0017653,C003263,2025-07-21 18:17:00,DCA,SMS Sent,Email,Customer promised to pay next week
I0004148,C003775,2025-07-21 18:17:00,DCA,Escalation,In-person,Updated contact details
I0018700,C001265,2025-07-21 18:31:00,DCA,Call Connected,Portal,Customer requested invoice copy
I0011568,C000133,2025-07-21 18:44:00,DCA,Note Added,Portal,Email bounced
I0014927,C004378,2025-07-21 18:45:00,DCA,Note Added,Portal,Customer asked for payment plan
I0023495,C003447,2025-07-21 18:48:00,DCA,Note Added,Phone,Email bounced
I0000455,C002838,2025-07-22 08:14:00,DCA,Email Sent,Email,Payment received partial
I0005656,C000721,2025-07-22 08:32:00,FedEx,Dispute Raised,Phone,Customer promised to pay next week
I0023133,C004221,2025-07-22 08:44:00,DCA,PTP Recorded,In-person,Updated contact details
I0016277,C003973,2025-07-22 08:45:00,FedEx,Call Connected,SMS,Left voicemail
I0006739,C000672,2025-07-22 08:56:00,DCA,Call Attempt,Phone,Customer requested invoice copy
I0022663,C000055,2025-07-22 09:00:00,FedEx,Payment Received,Phone,No response after multiple attempts
I0016575,C002593,2025-07-22 09:01:00,DCA,Call Attempt,SMS,Customer asked for payment plan
I0021069,C004634,2025-07-22 09:29:00,FedEx,Payment Received,Phone,Payment received partial
I0005153,C002463,2025-07-22 09:52:00,DCA,Case Closed,SMS,Customer asked for payment plan
I0012510,C001576,2025-07-22 10:24:00,DCA,PTP Recorded,Phone,No response after multiple attempts
I0004705,C002844,2025-07-22 10:24:00,FedEx,Payment Received,Portal,No response after multiple attempts
I0014581,C003909,2025-07-22 10:26:00,DCA,SMS Sent,Email,No response after multiple attempts
I0016138,C000632,2025-07-22 10:27:00,FedEx,Call Connected,Email,Dispute regarding service charges
I0017710,C000566,2025-07-22 10:32:00,FedEx,Call Attempt,Email,Customer requested invoice copy
I0015759,C001771,2025-07-22 10:40:00,DCA,Note Added,Phone,Left voicemail
I0024493,C003229,2025-07-22 10:48:00,DCA,Dispute Raised,SMS,Payment received partial
I0024134,C002670,2025-07-22 11:10:00,DCA,Call Attempt,Portal,Payment received partial
I0006814,C003912,2025-07-22 11:20:00,DCA,Payment Received,Portal,Dispute regarding service charges
I0022687,C000113,2025-07-22 11:37:00,DCA,Email Sent,Email,Left voicemail
I0011520,C002445,2025-07-22 12:11:00,DCA,SMS Sent,Portal,Customer promised to pay next week
I0007354,C000950,2025-07-22 12:33:00,DCA,Case Closed,SMS,No response after multiple attempts
I0017732,C001204,2025-07-22 13:33:00,DCA,Email Sent,Phone,Payment received partial
I0006347,C003978,2025-07-22 13:42:00,FedEx,Portal Message,Portal,Customer asked for payment plan
I0003958,C004011,2025-07-22 13:43:00,FedEx,Call Attempt,Portal,Customer requested invoice copy
I0016634,C000784,2025-07-22 13:48:00,DCA,Email Sent,Email,Updated contact details
I0016195,C000176,2025-07-22 13:55:00,DCA,SMS Sent,Phone,Email bounced
I0013326,C001959,2025-07-22 14:08:00,FedEx,Call Connected,Email,Customer asked for payment plan
I0021758,C001278,2025-07-22 14:20:00,DCA,SMS Sent,Email,Customer asked for payment plan
I0011437,C004386,2025-07-22 14:25:00,DCA,Call Connected,SMS,Left voicemail
I0016397,C002283,2025-07-22 14:28:00,FedEx,SMS Sent,Email,No response after multiple attempts
I0003880,C001755,2025-07-22 14:58:00,DCA,Email Sent,Email,Customer asked for payment plan
I0006879,C004852,2025-07-22 15:01:00,FedEx,Note Added,Phone,Payment received partial
I0018550,C001041,2025-07-22 15:12:00,DCA,Payment Received,Email,Customer requested invoice copy
I0007049,C004289,2025-07-22 15:23:00,DCA,PTP Recorded,In-person,Customer asked for payment plan
I0015526,C000753,2025-07-22 15:28:00,FedEx,Call Attempt,Phone,Payment received partial
I0015315,C003022,2025-07-22 15:34:00,DCA,Payment Received,In-person,Email bounced
I0016386,C002539,2025-07-22 15:47:00,FedEx,Case Closed,SMS,Left voicemail
I0021599,C000093,2025-07-22 16:17:00,DCA,Call Attempt,In-person,No response after multiple attempts
I0015111,C001215,2025-07-22 16:21:00,DCA,Note Added,SMS,Customer requested invoice copy
I0015969,C002395,2025-07-22 16:21:00,FedEx,SMS Sent,In-person,Customer promised to pay next week
I0015585,C001364,2025-07-22 16:29:00,DCA,Dispute Raised,SMS,Customer requested invoice copy
I0012694,C001176,2025-07-22 16:42:00,DCA,Dispute Raised,In-person,Left voicemail
I0011696,C000226,2025-07-22 16:51:00,FedEx,Dispute Raised,In-person,Updated contact details
I0006508,C001730,2025-07-22 17:15:00,DCA,PTP Recorded,SMS,Updated contact details
I0009030,C000097,2025-07-22 17:25:00,DCA,Payment Received,Portal,No response after multiple attempts
I0014648,C003506,2025-07-22 17:26:00,FedEx,PTP Recorded,Portal,Payment received partial
I0014327,C000082,2025-07-22 17:33:00,DCA,SMS Sent,Phone,Dispute regarding service charges
I0014349,C002447,2025-07-22 17:42:00,DCA,Call Connected,Email,Customer promised to pay next week
I0001424,C002959,2025-07-22 17:49:00,DCA,Dispute Raised,Phone,Customer asked for payment plan
I0009857,C001746,2025-07-22 17:51:00,DCA,Escalation,Portal,Customer asked for payment plan
I0022865,C001808,2025-07-22 17:53:00,DCA,Call Connected,Email,Escalated due to SLA breach
I0014971,C004865,2025-07-22 17:57:00,DCA,Call Attempt,Phone,Customer asked for payment plan
I0000752,C000937,2025-07-22 18:00:00,DCA,Escalation,In-person,Dispute regarding service charges
I0015793,C002445,2025-07-22 18:04:00,DCA,Call Attempt,Phone,Updated contact details
I0023653,C004182,2025-07-22 18:08:00,DCA,Note Added,Phone,Customer asked for payment plan
I0022277,C003329,2025-07-22 18:23:00,FedEx,Call Attempt,Phone,Email bounced
I0018063,C000387,2025-07-23 08:05:00,DCA,Call Attempt,In-person,Updated contact details
I0001818,C001565,2025-07-23 08:27:00,DCA,Dispute Raised,Email,Dispute regarding service charges
I0006269,C003111,2025-07-23 08:28:00,DCA,Note Added,Email,Customer promised to pay next week
I0017250,C001071,2025-07-23 08:32:00,FedEx,Call Attempt,Email,Payment received partial
I0001675,C001156,2025-07-23 08:33:00,DCA,Allocated,Phone,Customer requested invoice copy
I0008131,C000813,2025-07-23 08:50:00,DCA,SMS Sent,SMS,Email bounced
I0022063,C004026,2025-07-23 09:21:00,FedEx,Dispute Raised,SMS,Customer asked for payment plan
I0022992,C002413,2025-07-23 09:41:00,FedEx,Payment Received,SMS,Payment received partial
I0017823,C001847,2025-07-23 09:53:00,FedEx,Email Sent,Email,Email bounced
I0018367,C001176,2025-07-23 09:59:00,DCA,Email Sent,SMS,Updated contact details
I0006858,C002382,2025-07-23 10:19:00,DCA,Call Attempt,Email,Customer promised to pay next week
I0006939,C003840,2025-07-23 10:26:00,FedEx,SMS Sent,In-person,Left voicemail
I0011862,C001875,2025-07-23 10:26:00,DCA,Call Attempt,SMS,Left voicemail
I0014847,C003751,2025-07-23 10:28:00,DCA,Call Attempt,Email,Escalated due to SLA breach
I0012490,C003591,2025-07-23 10:35:00,DCA,Email Sent,Email,Email bounced
I0014721,C000372,2025-07-23 10:37:00,DCA,Call Attempt,Portal,Customer asked for payment plan
I0002280,C003657,2025-07-23 10:40:00,FedEx,Call Attempt,Phone,Dispute regarding service charges
I0019013,C001356,2025-07-23 10:45:00,FedEx,Case Closed,Email,Customer promised to pay next week
I0022650,C002911,2025-07-23 11:08:00,DCA,PTP Recorded,In-person,Email bounced
I0015857,C004259,2025-07-23 11:14:00,DCA,Call Attempt,Email,Customer promised to pay next week
I0008737,C000629,2025-07-23 11:15:00,FedEx,Payment Received,SMS,Email bounced
I0002532,C001805,2025-07-23 12:00:00,FedEx,PTP Recorded,Email,Customer asked for payment plan
I0022514,C002001,2025-07-23 12:11:00,FedEx,Portal Message,Portal,Updated contact details
I0010031,C000634,2025-07-23 12:15:00,DCA,PTP Recorded,In-person,Dispute regarding service charges
I0010512,C003912,2025-07-23 12:22:00,FedEx,Call Connected,Portal,Email bounced
I0018755,C002552,2025-07-23 12:44:00,FedEx,Payment Received,SMS,Customer promised to pay next week
I0020340,C001494,2025-07-23 12:56:00,DCA,Dispute Raised,In-person,Left voicemail
I0015513,C000082,2025-07-23 13:10:00,FedEx,Payment Received,Portal,Payment received partial
I0006657,C003780,2025-07-23 13:34:00,DCA,Allocated,Phone,Updated contact details
I0014386,C003607,2025-07-23 13:51:00,FedEx,Portal Message,In-person,Updated contact details
I0013300,C001493,2025-07-23 13:51:00,DCA,Email Sent,Portal,Customer requested invoice copy
I0024680,C000204,2025-07-23 13:59:00,FedEx,Email Sent,SMS,Customer asked for payment plan
I0007264,C001608,2025-07-23 14:05:00,DCA,Email Sent,Phone,Email bounced
I0011572,C003271,2025-07-23 14:16:00,FedEx,Dispute Raised,Email,Left voicemail
I0002939,C001094,2025-07-23 14:24:00,DCA,Call Connected,Email,No response after multiple attempts
I0010641,C002757,2025-07-23 14:49:00,DCA,Call Attempt,SMS,Customer asked for payment plan
I0001052,C001727,2025-07-23 15:06:00,FedEx,PTP Recorded,In-person,Customer asked for payment plan
I0017505,C004141,2025-07-23 15:08:00,DCA,Email Sent,In-person,Customer asked for payment plan
I0015558,C002815,2025-07-23 15:14:00,DCA,Call Attempt,SMS,Customer promised to pay next week
I0017508,C004764,2025-07-23 15:52:00,DCA,Call Connected,In-person,Updated contact details
I0010619,C003150,2025-07-23 16:09:00,FedEx,Escalation,SMS,Customer promised to pay next week
I0003225,C002907,2025-07-23 16:22:00,FedEx,Call Connected,Portal,Customer asked for payment plan
I0012539,C003630,2025-07-23 16:34:00,DCA,Note Added,Phone,Updated contact details
I0019080,C004187,2025-07-23 16:46:00,FedEx,Call Attempt,In-person,Customer requested invoice copy
I0021847,C003100,2025-07-23 16:48:00,DCA,Call Attempt,SMS,Customer requested invoice copy
I0005150,C003528,2025-07-23 16:50:00,FedEx,Payment Received,SMS,No response after multiple attempts
I0008516,C003855,2025-07-23 17:45:00,FedEx,SMS Sent,Phone,Left voicemail
I0024838,C003882,2025-07-23 17:56:00,DCA,Allocated,Phone,No response after multiple attempts
I0015454,C004610,2025-07-23 18:02:00,FedEx,Note Added,Email,Escalated due to SLA breach
I0023216,C003703,2025-07-23 18:22:00,DCA,Call Connected,Portal,No response after multiple attempts
I0011015,C003645,2025-07-23 18:31:00,DCA,Email Sent,SMS,Customer promised to pay next week
I0022021,C000977,2025-07-23 18:47:00,DCA,Payment Received,Portal,Customer asked for payment plan
I0007701,C002994,2025-07-24 08:05:00,DCA,Escalation,Email,Updated contact details
I0014194,C002008,2025-07-24 08:13:00,DCA,Dispute Raised,Email,Payment received partial
I0002032,C001448,2025-07-24 08:27:00,DCA,Email Sent,SMS,Escalated due to SLA breach
I0017054,C002249,2025-07-24 08:46:00,FedEx,Call Connected,Portal,Escalated due to SLA breach
I0004019,C003702,2025-07-24 09:01:00,DCA,Escalation,SMS,No response after multiple attempts
I0014294,C003403,2025-07-24 09:08:00,FedEx,Payment Received,In-person,Updated contact details
I0001229,C003941,2025-07-24 09:16:00,FedEx,Portal Message,SMS,Customer requested invoice copy
I0019745,C002651,2025-07-24 10:08:00,DCA,Call Connected,Portal,Customer requested invoice copy
I0020113,C002358,2025-07-24 10:10:00,FedEx,Dispute Raised,Email,Email bounced
I0002457,C000307,2025-07-24 10:14:00,DCA,Call Connected,Portal,Customer promised to pay next week
I0005365,C002183,2025-07-24 10:18:00,FedEx,Escalation,SMS,Customer requested invoice copy
I0010986,C004193,2025-07-24 10:29:00,DCA,Call Connected,Portal,No response after multiple attempts
I0001233,C004812,2025-07-24 10:48:00,DCA,SMS Sent,Phone,Payment received partial
I0001998,C004279,2025-07-24 11:06:00,FedEx,Call Connected,Portal,Customer asked for payment plan
I0004426,C001833,2025-07-24 11:34:00,DCA,Call Attempt,SMS,Customer promised to pay next week
I0005263,C000493,2025-07-24 11:38:00,FedEx,Call Attempt,Phone,Customer requested invoice copy
I0015090,C002822,2025-07-24 11:41:00,DCA,Call Attempt,Portal,Customer requested invoice copy
I0024857,C004169,2025-07-24 11:51:00,DCA,Portal Message,Portal,Customer requested invoice copy
I0000506,C003153,2025-07-24 11:59:00,DCA,Note Added,Portal,Updated contact details
I0002906,C004684,2025-07-24 12:22:00,DCA,Note Added,Email,No response after multiple attempts
I0023402,C003976,2025-07-24 12:28:00,DCA,Call Attempt,In-person,Customer promised to pay next week
I0021197,C003299,2025-07-24 12:30:00,DCA,Payment Received,Portal,Customer requested invoice copy
I0007564,C003023,2025-07-24 12:45:00,FedEx,Payment Received,Portal,Customer promised to pay next week
I0017990,C001417,2025-07-24 12:47:00,DCA,Payment Received,Phone,Email bounced
I0000664,C001921,2025-07-24 12:53:00,FedEx,Call Connected,In-person,Updated contact details
I0007552,C001864,2025-07-24 13:10:00,FedEx,Call Attempt,SMS,No response after multiple attempts
I0003352,C000682,2025-07-24 13:12:00,DCA,Email Sent,Phone,Escalated due to SLA breach
I0008829,C001068,2025-07-24 13:19:00,FedEx,Allocated,SMS,Escalated due to SLA breach
I0008608,C002995,2025-07-24 13:25:00,DCA,Note Added,In-person,Email bounced
I0020637,C001068,2025-07-24 13:27:00,DCA,Email Sent,In-person,Dispute regarding service charges
I0017233,C002229,2025-07-24 14:13:00,DCA,SMS Sent,Email,Customer requested invoice copy
I0016297,C002880,2025-07-24 14:20:00,DCA,SMS Sent,Portal,Email bounced
I0017601,C004034,2025-07-24 14:24:00,DCA,Call Connected,Phone,Email bounced
I0004741,C002420,2025-07-24 14:27:00,DCA,Email Sent,Phone,Left voicemail
I0019589,C004810,2025-07-24 15:00:00,DCA,Dispute Raised,SMS,No response after multiple attempts
I0003229,C003318,2025-07-24 15:44:00,FedEx,PTP Recorded,Portal,Customer asked for payment plan
I0008327,C003882,2025-07-24 16:03:00,DCA,Escalation,Portal,Updated contact details
I0006413,C000136,2025-07-24 16:04:00,FedEx,Payment Received,In-person,Email bounced
I0019248,C002175,2025-07-24 16:10:00,DCA,Call Connected,Portal,Customer requested invoice copy
I0014322,C000028,2025-07-24 16:23:00,DCA,Email Sent,Phone,No response after multiple attempts
I0022907,C001824,2025-07-24 16:35:00,FedEx,Email Sent,Email,Customer promised to pay next week
I0004334,C002523,2025-07-24 17:10:00,FedEx,Call Attempt,Email,Updated contact details
I0014483,C004311,2025-07-24 17:25:00,FedEx,Call Connected,SMS,Dispute regarding service charges
I0003005,C001784,2025-07-24 17:50:00,DCA,PTP Recorded,Email,Dispute regarding service charges
I0002588,C002332,2025-07-24 17:57:00,DCA,Email Sent,SMS,Left voicemail
I0004243,C003821,2025-07-24 18:06:00,DCA,Case Closed,Phone,Email bounced
I0006025,C001702,2025-07-24 18:16:00,DCA,Allocated,SMS,Customer promised to pay next week
I0014131,C002293,2025-07-24 18:16:00,DCA,Call Attempt,In-person,No response after multiple attempts
I0011882,C001899,2025-07-24 18:37:00,DCA,SMS Sent,Portal,No response after multiple attempts
I0011575,C004475,2025-07-24 18:37:00,FedEx,Escalation,SMS,Left voicemail
I0019376,C001012,2025-07-24 18:53:00,DCA,Call Attempt,Email,Left voicemail
I0004086,C002572,2025-07-24 18:54:00,FedEx,Dispute Raised,SMS,Customer promised to pay next week
I0022522,C000890,2025-07-24 18:58:00,DCA,Call Connected,Email,Payment received partial
I0005167,C003233,2025-07-25 08:01:00,FedEx,Call Connected,In-person,Customer requested invoice copy
I0016923,C002975,2025-07-25 08:03:00,DCA,PTP Recorded,Portal,Customer requested invoice copy
I0012256,C002588,2025-07-25 08:14:00,DCA,Call Attempt,Email,No response after multiple attempts
I0004835,C000948,2025-07-25 08:17:00,DCA,SMS Sent,Portal,Email bounced
I0022240,C004989,2025-07-25 08:26:00,DCA,Call Attempt,Portal,Escalated due to SLA breach
I0003904,C000283,2025-07-25 08:34:00,FedEx,SMS Sent,Phone,Payment received partial
I0011394,C001459,2025-07-25 08:37:00,FedEx,Call Connected,In-person,Updated contact details
I0007433,C000558,2025-07-25 08:49:00,FedEx,SMS Sent,SMS,Dispute regarding service charges
I0013077,C002844,2025-07-25 09:06:00,DCA,SMS Sent,Email,Payment received partial
I0018497,C002190,2025-07-25 09:14:00,DCA,Call Connected,SMS,Escalated due to SLA breach
I0002052,C004240,2025-07-25 09:28:00,DCA,Call Attempt,Phone,No response after multiple attempts
I0023760,C004058,2025-07-25 09:44:00,DCA,Payment Received,Phone,Customer requested invoice copy
I0004301,C001431,2025-07-25 09:50:00,FedEx,SMS Sent,Email,Escalated due to SLA breach
I0009781,C003853,2025-07-25 10:18:00,FedEx,Case Closed,In-person,Email bounced
I0020546,C004475,2025-07-25 10:20:00,FedEx,Call Attempt,Email,Customer promised to pay next week
